Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"C. Alikor","EPIDEMIOLOGY OF DIABETES AND IMPAIRED FASTING GLUCOSE IN A RURAL COMMUNITY OF NIGERIAN NIGER DELTA REGION",2015,"Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942617258&origin=inward",65,"2021-07-17 16:46:24","Article","","1115-2613","https://api.elsevier.com/content/abstract/scopus_id/84942617258",24,2,114,124,11,1.83,11,1,6,"","",""
11,"A. Ezeukwu","Anthropometric measures of adiposity as correlates of atherogenic index of plasma in non-obese sedentary Nigerian males",2014,"Libyan Journal of Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898716055&origin=inward",66,"2021-07-17 16:46:24","Article","10.3402/ljm.v9.23798","1993-2820","https://api.elsevier.com/content/abstract/scopus_id/84898716055",9,1,,,11,1.57,11,1,7,"","",""
11,"A. Sabir","Dysglycaemia and its risk factors in an urban Fulani population of northern Nigeria.",2011,"West African journal of medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890407410&origin=inward",67,"2021-07-17 16:46:24","Article","","0189-160X","https://api.elsevier.com/content/abstract/scopus_id/84890407410",30,5,325,330,11,1.10,11,1,10,"","",""
11,"S. Ghazali","Waist circumference, waist to hip ratio, and body mass index in the diagnosis of metabolic syndrome in nigerian subjects",2010,"Nigerian Journal of Physiological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84881239476&origin=inward",68,"2021-07-17 16:46:24","Article","","0794-859X","https://api.elsevier.com/content/abstract/scopus_id/84881239476",25,2,187,195,11,1.00,11,1,11,"","",""
10,"F.A. Olatona","Dietary habits and metabolic risk factors for non-communicable diseases in a university undergraduate population",2018,"Journal of Health, Population and Nutrition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056314762&origin=inward",69,"2021-07-17 16:46:24","Article","10.1186/s41043-018-0152-2","1606-0997","https://api.elsevier.com/content/abstract/scopus_id/85056314762",37,1,,,10,3.33,10,1,3,"","",""
10,"B. Bello-Ovosi","Prevalence and correlates of hypertension and diabetes mellitus in an urban community in north-western Nigeria",2018,"Pan African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85044587224&origin=inward",70,"2021-07-17 16:46:24","Article","10.11604/pamj.2018.29.97.14191","1937-8688","https://api.elsevier.com/content/abstract/scopus_id/85044587224",29,,,,10,3.33,10,1,3,"","",""
10,"A.A. Sabir","Metabolic syndrome in urban city of North-Western Nigeria: Prevalence and determinants",2016,"Pan African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84961121503&origin=inward",71,"2021-07-17 16:46:24","Article","10.11604/pamj.2016.23.19.5806","1937-8688","https://api.elsevier.com/content/abstract/scopus_id/84961121503",23,,,,10,2.00,10,1,5,"","",""
10,"V.M. Oguoma","Maximum accuracy obesity indices for screening metabolic syndrome in Nigeria: A consolidated analysis of four cross-sectional studies",2016,"Diabetes and Metabolic Syndrome: Clinical Research and Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S1871402115300850","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84958581172&origin=inward",72,"2021-07-17 16:46:24","Article","10.1016/j.dsx.2016.01.001","1871-4021","https://api.elsevier.com/content/abstract/scopus_id/84958581172",10,3,121,127,10,2.00,10,1,5,"","",""
10,"A.A. Sabir","Rural-urban difference in plasma lipid levels and prevalence of dyslipidemia in hausa-fulani of north-western Nigeria",2013,"Ethnicity and Disease","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884405562&origin=inward",73,"2021-07-17 16:46:24","Article","","1049-510X","https://api.elsevier.com/content/abstract/scopus_id/84884405562",23,3,374,378,10,1.25,10,1,8,"","",""
10,"R. Adedoyin","Relationship between socioeconomic status and metabolic syndrome among Nigerian adults",2013,"Diabetes and Metabolic Syndrome: Clinical Research and Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S1871402113000155","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84877742075&origin=inward",74,"2021-07-17 16:46:24","Article","10.1016/j.dsx.2013.02.014","1871-4021","https://api.elsevier.com/content/abstract/scopus_id/84877742075",7,2,91,94,10,1.25,10,1,8,"","",""
10,"R.T. Ikem","A controlled comparison of the effect of a high fiber diet on the glycaemic and lipid profile of Nigerian clinic patients with type 2 diabetes",2007,"Pakistan Journal of Nutrition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847619810&origin=inward",75,"2021-07-17 16:46:24","Article","10.3923/pjn.2007.111.116","1680-5194","https://api.elsevier.com/content/abstract/scopus_id/33847619810",6,2,111,116,10,0.71,10,1,14,"","",""
9,"A. Olawuyi","The prevalence and associated factors of noncommunicable disease risk factors among civil servants in Ibadan, Nigeria",2018,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053238609&origin=inward",76,"2021-07-17 16:46:24","Article","10.1371/journal.pone.0203587","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/85053238609",13,9,,,9,3.00,9,1,3,"","",""
9,"E. Odum","Elevated cardiac troponin I, creatine kinase and myoglobin and their relationship with cardiovascular risk factors in patients with type 2 diabetes",2018,"Diabetes and Metabolic Syndrome: Clinical Research and Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S1871402117303703","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85039419869&origin=inward",77,"2021-07-17 16:46:24","Article","10.1016/j.dsx.2017.12.001","1871-4021","https://api.elsevier.com/content/abstract/scopus_id/85039419869",12,2,141,145,9,3.00,9,1,3,"","",""
9,"S. Uwaezuoke","Primary hypertension among a population of Nigerian secondary school adolescents: Prevalence and correlation with anthropometric indices: A cross-sectional study",2016,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983591568&origin=inward",78,"2021-07-17 16:46:24","Article","10.4103/1119-3077.188706","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/84983591568",19,5,649,654,9,1.80,9,1,5,"","",""
9,"A. Ogunbode","Physical functionality and self-rated health status of adult patients with knee osteoarthritis presenting in a primary care clinic",2014,"Ethiopian journal of health sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84964312475&origin=inward",79,"2021-07-17 16:46:24","Article","10.4314/ejhs.v24i4.7","1029-1857","https://api.elsevier.com/content/abstract/scopus_id/84964312475",24,4,319,328,9,1.29,9,1,7,"","",""
9,"T. Akande","Insulin resistance in Nigerians with essential hypertension",2013,"African Health Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883665591&origin=inward",80,"2021-07-17 16:46:24","Article","10.4314/ahs.v13i3.19","1680-6905","https://api.elsevier.com/content/abstract/scopus_id/84883665591",13,3,655,660,9,1.13,9,1,8,"","",""
9,"C. Okafor","Control to goal of cardiometabolic risk factors among Nigerians living with type 2 diabetes mellitus",2012,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84861612059&origin=inward",81,"2021-07-17 16:46:24","Article","10.4103/1119-3077.94089","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/84861612059",15,1,15,18,9,1.00,9,1,9,"","",""
9,"J.M. Oli","Basal insulin resistance and secretion in nigerians with type 2 diabetes mellitus",2009,"Metabolic Syndrome and Related Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=73649130634&origin=inward",82,"2021-07-17 16:46:24","Article","10.1089/met.2009.0002","1540-4196","https://api.elsevier.com/content/abstract/scopus_id/73649130634",7,6,595,599,9,0.75,9,1,12,"","",""
8,"T. Ugwu","Clinicopathologic assessment of hypogonadism in men with type 2 diabetes mellitus",2016,"Indian Journal of Endocrinology and Metabolism","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988625292&origin=inward",83,"2021-07-17 16:46:24","Article","10.4103/2230-8210.190554","2230-8210","https://api.elsevier.com/content/abstract/scopus_id/84988625292",20,5,667,673,8,1.60,8,1,5,"","",""
8,"M. Owolabi","Can common carotid intima media thickness serve as an indicator of both cardiovascular phenotype and risk among black Africans?",2015,"European Journal of Preventive Cardiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84944204340&origin=inward",84,"2021-07-17 16:46:24","Article","10.1177/2047487314547656","2047-4873","https://api.elsevier.com/content/abstract/scopus_id/84944204340",22,11,1442,1451,8,1.33,8,1,6,"","",""
8,"E.U. Nwose","Metabolic syndrome and prediabetes in ndokwa community of nigeria: Preliminary study",2015,"North American Journal of Medical Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923359587&origin=inward",85,"2021-07-17 16:46:24","Article","10.4103/1947-2714.152079","2250-1541","https://api.elsevier.com/content/abstract/scopus_id/84923359587",7,2,53,58,8,1.33,8,1,6,"","",""
8,"E.O. Okoro","Body size preference among Yoruba in three Nigerian communities",2014,"Eating and Weight Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898895624&origin=inward",86,"2021-07-17 16:46:24","Article","10.1007/s40519-013-0060-9","1124-4909","https://api.elsevier.com/content/abstract/scopus_id/84898895624",19,1,77,88,8,1.14,8,1,7,"","",""
8,"E.I. Erete","Prevalence and severity of atherosclerosis in extra cranial carotid arteries in Nigeria: an autopsy study",2012,"BMC Cardiovascular Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84869029302&origin=inward",87,"2021-07-17 16:46:24","Article","10.1186/1471-2261-12-106","1471-2261","https://api.elsevier.com/content/abstract/scopus_id/84869029302",12,,,,8,0.89,8,1,9,"","",""
8,"G. Anyanwu","Body size and adiposity indicators and their relationship with blood pressure levels in Ibos of Nigeria.",2011,"Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855165988&origin=inward",88,"2021-07-17 16:46:24","Article","","1115-2613","https://api.elsevier.com/content/abstract/scopus_id/84855165988",20,1,44,51,8,0.80,8,1,10,"","",""
8,"A.O. Ogbera","Lipoprotein (a), C-reactive protein and some metabolic cardiovascular risk factors in type 2 DM",2010,"Diabetology and Metabolic Syndrome","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955529869&origin=inward",89,"2021-07-17 16:46:24","Article","10.1186/1758-5996-2-51","1758-5996","https://api.elsevier.com/content/abstract/scopus_id/77955529869",2,1,,,8,0.73,8,1,11,"","",""
8,"A. Akinpelu","Adiposity and Quality of Life: A Case Study from an Urban Center in Nigeria",2009,"Journal of Nutrition Education and Behavior","","https://api.elsevier.com/content/article/eid/1-s2.0-S1499404609000141","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=69249189867&origin=inward",90,"2021-07-17 16:46:24","Article","10.1016/j.jneb.2009.01.006","1499-4046","https://api.elsevier.com/content/abstract/scopus_id/69249189867",41,5,347,352,8,0.67,8,1,12,"","",""
8,"I.O. Senbanjo","Waist circumference values of Nigerian children and adolescents",2009,"Annals of Nutrition and Metabolism","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65449123529&origin=inward",91,"2021-07-17 16:46:24","Article","10.1159/000214833","0250-6807","https://api.elsevier.com/content/abstract/scopus_id/65449123529",54,2,145,150,8,0.67,8,1,12,"","",""
7,"R. Oluyombo","Clustering of chronic kidney disease and cardiovascular risk factors in South-West Nigeria",2017,"Journal of Nephropathology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019905824&origin=inward",92,"2021-07-17 16:46:24","Article","10.15171/jnp.2017.33","2251-8363","https://api.elsevier.com/content/abstract/scopus_id/85019905824",6,3,196,203,7,1.75,7,1,4,"","",""
7,"I. Siminialayi","Prevalence of metabolic syndrome in urban and suburban Rivers State, Nigeria: International Diabetes Federation and Adult Treatment Panel III definitions.",2010,"The Nigerian postgraduate medical journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78349276612&origin=inward",93,"2021-07-17 16:46:24","Article","","1117-1936","https://api.elsevier.com/content/abstract/scopus_id/78349276612",17,2,147,153,7,0.64,7,1,11,"","",""
6,"F.Y. Muhammad","Metabolic syndrome among HIV infected patients: A comparative cross sectional study in northwestern Nigeria",2017,"Diabetes and Metabolic Syndrome: Clinical Research and Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S1871402117300632","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85017384339&origin=inward",94,"2021-07-17 16:46:24","Article","10.1016/j.dsx.2017.03.046","1871-4021","https://api.elsevier.com/content/abstract/scopus_id/85017384339",11,,,,6,1.50,6,1,4,"","",""
6,"S. Muazu","The prevalence and characteristics of latent autoimmune diabetes in adults subset among type two diabetes mellitus patients in Northern Nigeria",2016,"Annals of African Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84999143327&origin=inward",95,"2021-07-17 16:46:24","Article","10.4103/1596-3519.194277","1596-3519","https://api.elsevier.com/content/abstract/scopus_id/84999143327",15,4,163,170,6,1.20,6,1,5,"","",""
6,"A. Ogunbode","Prevalence of low back pain and associated risk factors amongst adult patients presenting to a Nigerian family practice clinic, a hospital-based study",2013,"African Journal of Primary Health Care and Family Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925879123&origin=inward",96,"2021-07-17 16:46:24","Article","10.4102/phcfm.v5i1.441","2071-2928","https://api.elsevier.com/content/abstract/scopus_id/84925879123",5,1,,,6,0.75,6,1,8,"","",""
6,"A.O. Ogbera","Screening for diabetes mellitus and human immunodefiency virus infection in persons with tuberculosis",2014,"Journal of Preventive Medicine and Hygiene","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84910038789&origin=inward",97,"2021-07-17 16:46:24","Article","","1121-2233","https://api.elsevier.com/content/abstract/scopus_id/84910038789",55,2,42,45,6,0.86,6,1,7,"","",""
6,"I. Gezawa","Prevalence of overweight and obesity in Maiduguri, North-Eastern Nigeria.",2013,"Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891647383&origin=inward",98,"2021-07-17 16:46:24","Article","","1115-2613","https://api.elsevier.com/content/abstract/scopus_id/84891647383",22,3,171,174,6,0.75,6,1,8,"","",""
6,"G. Iloh","The magnitude of abdominal adiposity and atherogenic dyslipidemia among geriatric Nigerians with arterial hypertension in a rural hospital in South-eastern Nigeria",2012,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871655861&origin=inward",99,"2021-07-17 16:46:24","Article","10.4103/1119-3077.104528","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/84871655861",15,4,462,468,6,0.67,6,1,9,"","",""
6,"H.A. Oboh","Correlation of waist-hip-ratio and waist-height-ratio to cardiovascular risks factors in a Nigerian population.",2011,"Nigerian quarterly journal of hospital medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053338232&origin=inward",100,"2021-07-17 16:46:24","Article","","0189-2657","https://api.elsevier.com/content/abstract/scopus_id/80053338232",21,1,16,24,6,0.60,6,1,10,"","",""
6,"F. Bello-Sani","Electrocardiographic abnormalities in persons with type 2 diabetes in Kaduna, Northern Nigeria",2009,"International Journal of Diabetes and Metabolism","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=76149095915&origin=inward",101,"2021-07-17 16:46:24","Article","10.1159/000497680","1606-7754","https://api.elsevier.com/content/abstract/scopus_id/76149095915",17,3,99,103,6,0.50,6,1,12,"","",""
6,"O. Essien","Prevalence and pattern of abnormal glucose tolerance in adult Nigerians with primary hypertension.",2007,"Nigerian journal of medicine : journal of the National Association of Resident Doctors of Nigeria","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34447137413&origin=inward",102,"2021-07-17 16:46:24","Article","10.4314/njm.v16i1.37281","1115-2613","https://api.elsevier.com/content/abstract/scopus_id/34447137413",16,1,50,56,6,0.43,6,1,14,"","",""
6,"J. Adeleye","Glucose and insulin responses in offspring of Nigerian Type 2 diabetics.",2002,"African journal of medicine and medical sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038660870&origin=inward",103,"2021-07-17 16:46:24","Article","","0309-3913","https://api.elsevier.com/content/abstract/scopus_id/0038660870",31,3,253,257,6,0.32,6,1,19,"","",""
5,"T.O. Alonge","Factors associated with osteoporosis among older patients at the geriatric centre in Nigeria: A cross-sectional study",2017,"South African Family Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85046083899&origin=inward",104,"2021-07-17 16:46:24","Article","10.1080/20786190.2016.1272248","2078-6190","https://api.elsevier.com/content/abstract/scopus_id/85046083899",59,3,87,93,5,1.25,5,1,4,"","",""
5,"K. Akinlade","Vitamin D levels in different severity groups of schizophrenia",2017,"Frontiers in Psychiatry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020539895&origin=inward",105,"2021-07-17 16:46:24","Article","10.3389/fpsyt.2017.00105","1664-0640","https://api.elsevier.com/content/abstract/scopus_id/85020539895",8,,,,5,1.25,5,1,4,"","",""
5,"T.O. Olusanya","Non alcoholic fatty liver disease in a Nigerian population with type II diabetes mellitus",2016,"Pan African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84975520415&origin=inward",106,"2021-07-17 16:46:24","Article","10.11604/pamj.2016.24.20.8181","1937-8688","https://api.elsevier.com/content/abstract/scopus_id/84975520415",24,,,,5,1.00,5,1,5,"","",""
5,"O. Egbi","Prevalence of hypertension and its correlates among employees of a tertiary hospital in Yenagoa, Nigeria",2015,"Annals of African Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84930517673&origin=inward",107,"2021-07-17 16:46:24","Article","10.4103/1596-3519.148709","1596-3519","https://api.elsevier.com/content/abstract/scopus_id/84930517673",14,1,8,17,5,0.83,5,1,6,"","",""
5,"I. Agalliu","The feasibility of epidemiological research on prostate cancer in African men in Ibadan, Nigeria",2015,"BMC Public Health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928721066&origin=inward",108,"2021-07-17 16:46:24","Article","10.1186/s12889-015-1754-x","1471-2458","https://api.elsevier.com/content/abstract/scopus_id/84928721066",15,1,,,5,0.83,5,1,6,"","",""
5,"M. Hassan","Effects of fasting on intraocular pressure in a black population",2014,"Middle East African Journal of Ophthalmology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908670235&origin=inward",109,"2021-07-17 16:46:24","Article","10.4103/0974-9233.142271","0974-9233","https://api.elsevier.com/content/abstract/scopus_id/84908670235",21,4,328,331,5,0.71,5,1,7,"","",""
5,"O.O. Onabanjo","Anthropometric and Iron Status of Adolescents From Selected Secondary Schools in Ogun State, Nigeria",2014,"Infant, Child, and Adolescent Nutrition","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897768110&origin=inward",110,"2021-07-17 16:46:24","Article","10.1177/1941406414520703","1941-4064","https://api.elsevier.com/content/abstract/scopus_id/84897768110",6,2,109,118,5,0.71,5,1,7,"","",""
5,"A.F. Adeniyi","Time course of improvement of metabolic parameters after a 12 week physical exercise Programme in patients with type 2 diabetes: The influence of gender in a Nigerian population",2013,"BioMed Research International","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884216004&origin=inward",111,"2021-07-17 16:46:24","Article","10.1155/2013/310574","2314-6133","https://api.elsevier.com/content/abstract/scopus_id/84884216004",2013,,,,5,0.63,5,1,8,"","",""
5,"I.O. Senbanjo","Body fat distribution of children and adolescents in Abeokuta, Southwest Nigeria",2013,"American Journal of Physical Anthropology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875264544&origin=inward",112,"2021-07-17 16:46:24","Article","10.1002/ajpa.22241","0002-9483","https://api.elsevier.com/content/abstract/scopus_id/84875264544",150,4,647,654,5,0.63,5,1,8,"","",""
5,"A. Famodu","Anthropometric indices as determinants of haemorheological cardiovascular disease risk factors in Nigerian adults living in a semi-urban community",2009,"Clinical Hemorheology and Microcirculation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=75149181441&origin=inward",113,"2021-07-17 16:46:24","Article","10.3233/CH-2009-1244","1386-0291","https://api.elsevier.com/content/abstract/scopus_id/75149181441",43,4,335,344,5,0.42,5,1,12,"","",""
4,"I.M. Paruk","Prevalence of low serum testosterone levels among men with type 2 diabetes mellitus attending two outpatient diabetes clinics in KwaZulu-Natal Province, South Africa",2019,"South African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076731183&origin=inward",114,"2021-07-17 16:46:24","Article","10.7196/SAMJ.2019.v109i12.13893","0256-9574","https://api.elsevier.com/content/abstract/scopus_id/85076731183",109,12,963,970,4,2.00,4,1,2,"","",""
4,"C. Enechukwu","Oxidative stress markers and lipid profiles of patients with polycystic ovary syndrome in a Nigerian tertiary hospital",2019,"Obstetrics and Gynecology Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85072568295&origin=inward",115,"2021-07-17 16:46:24","Article","10.5468/ogs.2019.62.5.335","2287-8572","https://api.elsevier.com/content/abstract/scopus_id/85072568295",62,5,335,343,4,2.00,4,1,2,"","",""
4,"I.C. Okpala","Metabolic syndrome and dyslipidemia among nigerians with lichen planus: A cross-sectional study",2019,"Indian Journal of Dermatology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068979237&origin=inward",116,"2021-07-17 16:46:24","Article","10.4103/ijd.IJD_111_18","0019-5154","https://api.elsevier.com/content/abstract/scopus_id/85068979237",64,4,303,310,4,2.00,4,1,2,"","",""
4,"O. Wariri","Discriminative ability of adiposity measures for elevated blood pressure among adolescents in a resource-constrained setting in northeast Nigeria: A cross-sectional analysis",2018,"BMC Obesity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058976064&origin=inward",117,"2021-07-17 16:46:24","Article","10.1186/s40608-018-0211-7","2052-9538","https://api.elsevier.com/content/abstract/scopus_id/85058976064",5,1,,,4,1.33,4,1,3,"","",""
4,"C.P. Onyenekwu","The prevalence of metabolic syndrome and its components among overweight and obese Nigerian adolescents and young adults",2017,"Nigerian Journal of Clinical Practice","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028302829&origin=inward",118,"2021-07-17 16:46:24","Article","10.4103/1119-3077.196085","1119-3077","https://api.elsevier.com/content/abstract/scopus_id/85028302829",20,6,670,676,4,1.00,4,1,4,"","",""
4,"E. Egbe","Assessment of anthropometric indices among residents of Calabar, South-East Nigeria",2014,"Indian Journal of Endocrinology and Metabolism","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84995777868&origin=inward",119,"2021-07-17 16:46:24","Article","10.4103/2230-8210.131196","2230-8210","https://api.elsevier.com/content/abstract/scopus_id/84995777868",18,3,386,393,4,0.57,4,1,7,"","",""
4,"B. Omisore","Gender comparisons of adolescents' anthropometry and blood pressure in Osun State, South-Western Nigeria",2015,"International Journal of Adolescent Medicine and Health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84939140145&origin=inward",120,"2021-07-17 16:46:24","Article","10.1515/ijamh-2014-0018","0334-0139","https://api.elsevier.com/content/abstract/scopus_id/84939140145",27,3,247,251,4,0.67,4,1,6,"","",""
4,"A. Ipadeola","Latent autoimmune diabetes amongst adults with type 2 diabetes in a Nigerian tertiary hospital",2015,"Primary Care Diabetes","","https://api.elsevier.com/content/article/eid/1-s2.0-S175199181400103X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84928814921&origin=inward",121,"2021-07-17 16:46:24","Article","10.1016/j.pcd.2014.09.003","1751-9918","https://api.elsevier.com/content/abstract/scopus_id/84928814921",9,3,231,236,4,0.67,4,1,6,"","",""
4,"C.A. Oladoyinbo","Obesity and hypertension amongst traders in Ijebu Ode, Nigeria",2015,"African Journal of Biomedical Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84927168691&origin=inward",122,"2021-07-17 16:46:24","Article","","1119-5096","https://api.elsevier.com/content/abstract/scopus_id/84927168691",18,1,23,27,4,0.67,4,1,6,"","",""
4,"A.M. Adeoye","Hypertension subtypes among hypertensive patients in Ibadan",2014,"International Journal of Hypertension","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84911440479&origin=inward",123,"2021-07-17 16:46:24","Article","10.1155/2014/295916","2090-0384","https://api.elsevier.com/content/abstract/scopus_id/84911440479",2014,,,,4,0.57,4,1,7,"","",""
4,"E. Ajayi","Metabolic syndrome: Prevalence and association with electrocardiographic abnormalities in nigerian hypertensive patients",2014,"Metabolic Syndrome and Related Disorders","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907285637&origin=inward",124,"2021-07-17 16:46:24","Article","10.1089/met.2014.0061","1540-4196","https://api.elsevier.com/content/abstract/scopus_id/84907285637",12,8,437,442,4,0.57,4,1,7,"","",""
4,"F.A. Maruf","Physical activity level and adiposity: are they associated with primary dysmenorrhea in school adolescents?",2013,"African journal of reproductive health","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84897018596&origin=inward",125,"2021-07-17 16:46:24","Article","","1118-4841","https://api.elsevier.com/content/abstract/scopus_id/84897018596",17,4,167,174,4,0.50,4,1,8,"","",""
4,"E. Odum","Antioxidant status of subjects with Metabolic Syndrome in Port Harcourt, Nigeria.",2012,"The Nigerian postgraduate medical journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84879470564&origin=inward",126,"2021-07-17 16:46:24","Article","","1117-1936","https://api.elsevier.com/content/abstract/scopus_id/84879470564",19,4,199,203,4,0.44,4,1,9,"","",""
4,"P. Kolo","Normotensive offspring of hypertensive Nigerians have increased left ventricular mass and abnormal geometric patterns",2012,"Pan African Medical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862299117&origin=inward",127,"2021-07-17 16:46:24","Article","","1937-8688","https://api.elsevier.com/content/abstract/scopus_id/84862299117",11,,6,6,4,0.44,4,1,9,"","",""
4,"A. Ogbera","Relationship between serum testosterone levels and features of the metabolic syndrome defining criteria in patients with type 2 diabetes mellitus",2011,"West African Journal of Medicine","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862279647&origin=inward",128,"2021-07-17 16:46:24","Article","","0189-160X","https://api.elsevier.com/content/abstract/scopus_id/84862279647",30,4,277,281,4,0.40,4,1,10,"","",""
